Field,Value
Title,用 Codex 做出 10 個小作品 2
Subtitle,地圖、動畫、穿搭、任務代理與飛行模擬實作入門
Author,Happy eBook
Publisher,Happy eBook
Language,zh-Hant
Book type,EPUB ebook
Upload scope,Public reader edition only
ISBN or identifier,TBD；可先使用 Google 產生的 GGKEY
Primary category,Computers / Programming / General
Secondary category,Education / Computers & Technology
Audience,初學者、自學者、教師、親子共學
Reader level,入門到初階
Keywords,"Codex, AI coding, HTML, CSS, JavaScript, Vanilla JavaScript, GitHub Pages, 小作品, 網頁遊戲, 地圖互動, 動畫, 飛行模擬, Prompt Engineering, Vibe Coding, 電子書, 程式入門"
Short description,這是《用 Codex 做出 10 個小作品》的第二本，帶初學者用 Codex 完成第二組純前端小作品，練習表單、地圖資料、動畫切換、圖片互動、鍵盤控制、遊戲邏輯與 Prompt 工具。
Suggested price,TBD
Sales territories,TBD
DRM,TBD
Preview percentage,TBD
