Field,Value
Title,用 Codex 做出 10 個小作品
Subtitle,2 本故事書與 8 個網頁遊戲實作入門
Author,TBD
Publisher,Happy eBook
Language,zh-Hant
Book type,EPUB ebook
Upload scope,Public reader edition only
ISBN or identifier,TBD；可先使用 Google 產生的 GGKEY
Primary category,Computers / Programming / General
Secondary category,Education / Computers & Technology
Audience,初學者、自學者、教師、親子共學
Reader level,入門
Keywords,"Codex, AI coding, HTML, CSS, JavaScript, Vanilla JavaScript, GitHub Pages, 小作品, 網頁遊戲, 電子書, 程式入門, Vibe Coding, Prompt Engineering"
Short description,這是一本給初學者的 AI coding 實作書，帶你用 Codex 完成 2 本中英故事書與 8 個網頁小遊戲，練習把需求寫清楚、檢查結果並逐步修正。
Suggested price,TBD
Sales territories,TBD
DRM,TBD
Preview percentage,TBD
